INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
National American University-Garden City,Garden City,KS,3,3,0,NULL,NULL,53,0.2453,NULL,NULL,NULL,1,NULL
National American University-Career Point College Teachout Site,San Antonio,TX,2,3,0,NULL,NULL,42,0.5952,NULL,NULL,NULL,1,NULL
Empire Beauty School-Tampa,Tampa,FL,1,3,0,NULL,NULL,71,0.1972,NULL,NULL,NULL,3,0.7619
Empire Beauty School-Lakeland,Lakeland,FL,1,3,0,NULL,NULL,77,0.1948,NULL,NULL,NULL,3,0.8478
Advanced College-Stockton,Stockton,CA,1,3,0,NULL,NULL,53,0.3208,NULL,NULL,NULL,2,0.6667
Galen College of Nursing-ARH,Hazard,KY,0,3,0,NULL,NULL,246,0,NULL,NULL,NULL,2,0.6667
The Chicago School of Professional Psychology at San Diego,San Diego,CA,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Tricoci University of Beauty Culture-Janesville,Janesville,WI,1,3,0,NULL,NULL,58,0.0862,NULL,NULL,NULL,2,1
Unlimited Cosmetology School,Hattiesburg,MS,1,3,0,NULL,NULL,22,0.0455,NULL,NULL,NULL,3,0.8
Johnny Matthew's Hairdressing Training School,Salem,OR,1,3,0,NULL,NULL,65,0.3231,NULL,NULL,NULL,3,0.6154
The Culinary School of Fort Worth,Fort Worth,TX,1,3,0,NULL,NULL,32,0.1875,NULL,NULL,NULL,3,NULL
Centralia Beauty College,Centralia,WA,1,3,0,NULL,NULL,58,0.1897,NULL,NULL,NULL,3,0.0952
University of Wisconsin-Milwaukee Flex,Milwaukee,WI,3,1,0,NULL,NULL,538,0.0372,NULL,NULL,NULL,1,NULL
University of Wisconsin-Parkside Flex,Kenosha,WI,1,1,0,NULL,NULL,5,0,NULL,NULL,NULL,1,NULL
University of Wisconsin Colleges Flex,Madison,WI,2,1,0,0.4444,NULL,44,0.0227,NULL,NULL,NULL,2,NULL
Platt College-Edge Tech Academy,Arlington,TX,1,3,0,NULL,NULL,24,0.25,NULL,NULL,NULL,3,0.4667
Bnos Zion Of Bobov Seminary,Brooklyn,NY,2,2,0,0.8991,NULL,122,0,NULL,NULL,NULL,2,0.6522
Carolina Career College,Durham,NC,1,3,0,NULL,NULL,60,0.1333,NULL,NULL,NULL,3,NULL
ABC Adult School,Cerritos,CA,1,1,0,NULL,NULL,90,0.6,NULL,NULL,NULL,3,0
Polytech Adult Education,Woodside,DE,1,1,0,NULL,NULL,317,0.0789,NULL,NULL,NULL,3,0.5806
Blush School of Makeup,San Francisco,CA,1,3,0,NULL,NULL,16,0.375,NULL,NULL,NULL,3,0.0337
Oikos University,Oakland,CA,4,2,0,0.4286,NULL,62,0,NULL,NULL,NULL,1,0
California Institute of Medical Science,Clovis,CA,1,3,0,NULL,NULL,8,0.5,NULL,NULL,NULL,3,0.8889
Union Bible College,Westfield,IN,3,2,0,0.9286,NULL,56,0.0179,NULL,NULL,NULL,1,0
Pets Playground Grooming School,Pompano Beach,FL,1,3,0,NULL,NULL,7,0.4286,NULL,NULL,NULL,3,0
San Bernardino Beauty College,San Bernardino,CA,1,3,0,NULL,NULL,117,0.3846,NULL,NULL,NULL,3,0.5
Christina and Company Education Center,Lafayette,IN,1,3,0,NULL,NULL,4,0.25,NULL,NULL,NULL,3,0
Institute of Medical Ultrasound,Atlanta,GA,1,3,0,NULL,NULL,22,0.1364,NULL,NULL,NULL,3,0
Mystros Barber Academy,Houston,TX,1,2,0,NULL,NULL,7,0.7143,NULL,NULL,NULL,3,0
European Medical School of Massage,Sinking Spring,PA,1,3,0,NULL,NULL,17,0.3529,NULL,NULL,NULL,3,0.5556
Yeshiva Gedolah Tiferes Boruch,North Plainfield,NJ,3,2,0,1,NULL,63,0,NULL,NULL,NULL,1,0.6
Yeshiva Chemdas Hatorah,Lakewood,NJ,2,2,0,0.8667,NULL,63,0,NULL,NULL,NULL,1,0.6471
Women's Institute of Torah Seminary,Baltimore,MD,3,2,0,0.75,NULL,72,0,NULL,NULL,NULL,1,0
Yeshiva Gedolah Keren Hatorah,Lakewood,NJ,2,2,0,0.8846,NULL,147,0,NULL,NULL,NULL,1,0.4524
ICOHS College,San Diego,CA,1,2,0,NULL,NULL,44,0.1136,NULL,NULL,NULL,3,0.1786
Neo-Esthetique European Institute,San Juan,PR,1,3,0,NULL,NULL,183,1,NULL,NULL,NULL,3,1
Lehigh Valley Barber School,Bethlehem,PA,1,3,0,NULL,NULL,23,0.4348,NULL,NULL,NULL,3,1
International Barber College,Chandler,AZ,1,3,0,NULL,NULL,13,0.3846,NULL,NULL,NULL,3,0.32
Brown Beauty Barber School,Bessemer,AL,1,3,0,NULL,NULL,21,0.0476,NULL,NULL,NULL,3,0.6364
Rexburg College of Massage Therapy,Rexburg,ID,1,3,0,NULL,NULL,46,0.0217,NULL,NULL,NULL,3,NULL
